nfinitive,Simple Past,Past Participle,Espanol
Accept,accepted,accepted,aceptar
Add,added,added,agregar
Admit,admitted, admitted,admitir
Agree,agreed,agreed,estar de acuerdo
Allow,allowed,allowed,permitir
Answer,answered,answered,responder
Arrive,arrived,arrived,llegar
Ask,asked,asked,preguntar
Believe,believed,believed,creer
Dress,dressed,dressed,vestirse
Brush,brushed,brushed,cepillar
Burn,burned,burned,quemar
Call,called,called,llamar
Cancel,canceled,canceled,cancelar
Change,changed,changed,cambiar
Clean,cleaned,cleaned,limpiar
Close,closed,closed,cerrar
Complain,complained,complained,quejar
Complete,completed,completed,completar
Cook,cooked,cooked,cocinar
Copy,copied,copied,copiar
Count,counted,counted,contar
Cry,cried,cried,llovar
Dance,danced,danced,bailar
Decide,decided,decided,decidir
Decorate,decorated,decorated,decorar
Destroy,destroyed,destroyed,destruir
Drop,dropped,dropped,caer
Dry,dried,dried,secar
Enjoy,enjoyed,enjoyed,disfrutar
Escape,escaped,escaped,escapar
Explain,explained,explained,explicar
Fill,filled,filled,llenar
Finish,finished,finished,terminar
Fix,fixed,fixed,arreglar
Follow,followed,followed,seguir
Guess,guessed,guessed,suponer
Happen,happened,happened,pasar
Hate,hated,hated,odiar
Help,helped,helped,ayudar
Imagine,imagined,imagined,imaginar
Improve,improved,improved,mejorar
Increase,increased,increased,aumentar
Invent,invented,invented,inventar
Invite,invited,invited,invitar
Join,joined,joined,unir
Jump,jumped,jumped,saltar
Kill,killed,killed,matar
Kiss,kissed,kissed,besar
Laugh,laughed,laughed,reir
Learn,learned,learned,aprender
Like,liked,liked,gustar
Listen,listened,listened,escuchar
Live,lived,lived,vivir
Look,looked,looked,mirar
Love,loved,loved,amar
Measure,measured,measured,medir
Mention,mentioned,mentioned,mencionar
Need,needed,needed,necesitar
Notice,noticed,noticed,notar
Offer,offered,offered,ofrecer
Open,opened,opened,abrir
Order,ordered,ordered,ordenar
Miss,missed,missed,extrañar
Paint,painted,painted,pintar
Place,placed,placed,colocar
Play,played,played,jugar
Please,pleased,pleased,agradar
Practice,practiced,practiced,practicar
Prepare,prepared,prepared,preparar
pack,packed,packed,empacar
move,moved,moved,mover
name,named,named,nombrar
Remember,remembered,remembered,acordarse de
Remind,reminded,reminded,recordar
Repeat,repeated,repeated,repetir
lie,lied,lied,mentir
Require,required,required,requerir
last,lasted,lasted,durar
Search,searched,searched,buscar
Knock,knocked,knocked,golpear
Use,used,used,usar
Smile,smiled,smiled,sonreir
Start,started,started,comenzar
Stop,stopped,stopped,parar
Study,studied,studied,estudiar
Talk,talked,talked,hablar
Touch,touched,touched,tocar
Translate,translated,translated,traducir
Travel,traveled,traveled,viajar
land,landed,landed,aterrizar
Marry,married,married,casarse
Visit,visited,visited,visitar
Wait,waited,waited,esperar
Walk,walked,walked,caminar
Want,wanted,wanted,querer
Watch,watched,watched,observar
Wish,wished,wished,desear
Work,worked,worked,trabajar
Wash,Washed,Washed,lavar
